ID;Address;Latitude;Longitude
93;Malteška cesta 38, 3313 Polzela;46.280676;15.076264
94;Ulica 1. maja 2 A, 6230 Postojna;45.77497;14.212
95;Šiška 1, 4205 Preddvor;46.302328;14.420707
96;Trg 32 A, 2391 Prevalje;46.545088;14.914528
97;Mariborska Cesta 19, 2251 Ptuj;46.416581;15.85987
98;Ljubljanska cesta 14, 2327 Rače;46.453748;15.674698
99;Panonska cesta 5, 9252 Radenci;46.64263;16.039314
100;Trg svobode 19, 2390 Ravne na Koroškem;46.544685;14.966227
101;Kolodvorska ulica 2, 1310 Ribnica;45.740496;14.727421
102;Slovenski trg 4, 2352 Selnica ob Dravi;46.551465;15.493035
103;Trg svobode 9, 8290 Sevnica;46.009742;15.302932
104;Partizanska cesta 48 A, 6210 Sežana;45.707515;13.868579
105;Kidričeva ulica 3a, 2380 Slovenj Gradec;46.512303;15.079759
106;Cesta k Dravi 5, 2241 Spodnji Duplek;46.500401;15.750091
107;Vrtojbenska cesta 19 C, 5290 Šempeter pri Gorici;45.928374;13.640601
108;Gasilska cesta 2 A, 4208 Šenčur;46.242348;14.419109
109;Prvomajska cesta 3, 8310 Šentjernej;45.843985;15.338861
110;Mestni trg 5a, 3230 Šentjur;46.21672;15.394988
111;Kapucinski trg 14, 4221 Škofja Loka;46.166844;14.305868
112;Aškerčev trg 26, 3240 Šmarje pri Jelšah;46.228662;15.518427
113;Trg maršala Tita 10, 5220 Tolmin;46.183161;13.733756
114;Trg revolucije 27, 1420 Trbovlje;46.148193;15.041682
115;Trg Franca Fakina 4, 1422 Trbovlje;46.16063;15.053982
116;Goliev trg 11, 8210 Trebnje;45.90752;15.007284
117;Predilniška cesta 10, 4290 Tržič;46.361606;14.307118
118;Kidričeva cesta 2a, 3320 Velenje;46.364789;15.110988
119;Poštna ulica 2, 1360 Vrhnika;45.963694;14.2958
120;Tržaška cesta 32, 1360 Vrhnika;45.959902;14.293062
121;Cesta zmage 28, 1410 Zagorje ob Savi;46.130731;14.996405
122;Mariborska ulica 26, 2314 Zgornja Polskava;46.426353;15.611316
123;Ulica heroja Staneta 1, 3310 Žalec;46.252904;15.160093
124;Na Kresu 1, 4228 Železniki;46.225745;14.168804
125;Trg svobode 1, 4226 Žiri;46.048105;14.110205
126;Žirovnica 4, 4274 Žirovnica;46.404083;14.135823
